,age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
0,39,1,77516,13,1,1,1,1,1,2174,0,40,1,1
1,50,2,83311,13,2,2,2,1,1,0,0,13,1,1
2,38,3,215646,9,3,3,1,1,1,0,0,40,1,1
3,53,3,234721,7,2,3,2,2,1,0,0,40,1,1
4,28,3,338409,13,2,4,3,2,2,0,0,40,2,1
5,37,3,284582,14,2,2,3,1,2,0,0,40,1,1
6,49,3,160187,5,4,5,1,2,2,0,0,16,3,1
7,52,2,209642,9,2,2,2,1,1,0,0,45,1,2
8,31,3,45781,14,1,4,1,1,2,14084,0,50,1,2
9,42,3,159449,13,2,2,2,1,1,5178,0,40,1,2
10,37,3,280464,10,2,2,2,2,1,0,0,80,1,2
11,30,1,141297,13,2,4,2,3,1,0,0,40,4,2
12,23,3,122272,13,1,1,4,1,2,0,0,30,1,1
13,32,3,205019,12,1,6,1,2,1,0,0,50,1,1
14,40,3,121772,11,2,7,2,3,1,0,0,40,5,2
15,34,3,245487,4,2,8,2,4,1,0,0,45,6,1
16,25,2,176756,9,1,9,4,1,1,0,0,35,1,1
17,32,3,186824,9,1,10,5,1,1,0,0,40,1,1
18,38,3,28887,7,2,6,2,1,1,0,0,50,1,1
19,43,2,292175,14,3,2,5,1,2,0,0,45,1,2
20,40,3,193524,16,2,4,2,1,1,0,0,60,1,2
21,54,3,302146,9,5,5,5,2,2,0,0,20,1,1
22,35,4,76845,5,2,9,2,2,1,0,0,40,1,1
23,43,3,117037,7,2,8,2,1,1,0,2042,40,1,1
24,59,3,109015,9,3,11,5,1,2,0,0,40,1,1
25,56,5,216851,13,2,11,2,1,1,0,0,40,1,2
26,19,3,168294,9,1,7,4,1,1,0,0,40,1,1
27,54,6,180211,10,2,12,2,3,1,0,0,60,7,2
28,39,3,367260,9,3,2,1,1,1,0,0,80,1,1
29,49,3,193366,9,2,7,2,1,1,0,0,40,1,1
30,23,5,190709,12,1,13,1,1,1,0,0,52,1,1
31,20,3,266015,10,1,6,4,2,1,0,0,44,1,1
32,45,3,386940,13,3,2,4,1,1,0,1408,40,1,1
33,30,4,59951,10,2,1,4,1,1,0,0,40,1,1
34,22,1,311512,10,2,5,2,2,1,0,0,15,1,1
35,48,3,242406,7,1,10,5,1,1,0,0,40,8,1
36,21,3,197200,10,1,10,4,1,1,0,0,40,1,1
37,19,3,544091,9,6,1,3,1,2,0,0,25,1,1
38,31,3,84154,10,2,6,2,1,1,0,0,38,5,2
39,48,2,265477,12,2,4,2,1,1,0,0,40,1,1
40,31,3,507875,5,2,10,2,1,1,0,0,43,1,1
41,53,2,88506,13,2,4,2,1,1,0,0,40,1,1
